Branch:QSP-BasavanagudiNo,Course,Subject,Amount,Amount(Oneshot),Edit,Delete,Branch,,,
25,MobiePackage,ManualMobileApplication;AutomationMobileApplication,400,400,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
26,MobileApplicationDevelopment,CoreJava;Database;AndroidDevelopment,17600,17600,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
27,N-Unix,N-Unix,5000,5000,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
28,O-ETLTesting,Database;ETLTesting,8000,8000,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
29,Pitesting(Api),Apitesting,4500,4500,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
30,Project,ERP;CRM,2900,2900,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
31,Python,Ython-Selenium;Ython,15950,15950,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
32,Python.dev,Ython-dev,28950,27950,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
33,QTPExpert,QTP,11600,11100,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
34,SeleniumExpert,SeleniumTool;CoreJava,15950,15950,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
35,SeleniumProject,ProjectSelenium,5900,5900,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
36,TechnicalAptitude,TechnicalAptitude;Grooming,500,500,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
37,TestinginMobileApplication,ManualMobileApplication;AutomationMobileApplication,10100,10100,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
38,UISoap,UISoap,9100,9100,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
39,VerbalEnglish,VerbalEnglish,2500,2500,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
40,WebService,WebService,750,1250,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
41,XamfeesISTQB,ISTQBExam,5000,5000,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
42,Yangular.js,Angular.js,6100,1500,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
43,Zava,c,c++,CoreJava;++C,C,12000,12000,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP)
,,,,,,,,,,
----,,,,,,,,,,
