Branch:QSP-BasavanagudiNo,Course,Subject,Amount,Amount(Oneshot),Edit,Delete,Branch,,,
11,BigdataHadoop,CoreJava;BigdataHadoop,20000,20000,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
12,ClassicQTP,ManualTesting;QTP;Database;QualityCenter;AgileMethodology,23950,22950,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
13,ClassicSelenium,ManualTesting;SeleniumTool;CoreJava;Database;QualityCenter;AgileMethodology;Grooming,28950,27950,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
14,Cucumber,Cucumber,3400,3400,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
15,DataSciencePython,Ython-dev;DataScience,28950,27950,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
16,DevelopmentinJavaApplication(JAD),CoreJava;Database,13600,13600,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
17,EnterpriseApplicationDevelopment,CoreJava;Database;J2EE;WebTechnologies;Hibernate-Framework;Spring-Framework;HTML,28950,27950,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
18,FullClassicPackage,ManualTesting;SeleniumTool;CoreJava;QTP;Database;QualityCenter;AgileMethodology,27000,25000,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
19,HPTools,QTP;LoadRunner,16500,16500,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
20,Internproject,ProjectIntern,4500,4500,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
21,ISTQB,ISTQB,6100,6100,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
22,JavaClassic,CoreJava;Database;J2EE;WebTechnologies;AndroidDevelopment;Hibernate-Framework;Spring-Framework;HTML,24300,22900,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
23,JavaProject,ProjectJava,8000,1500,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
24,LoadTest,LoadRunner;Jmeter,16900,16900,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
